Data set key;Occurrences;GBIF data set keys
https://doi.org/10.15468/dl.9b6kd8;38619193;0022352-210914110416597
https://doi.org/10.15468/dl.jj37ba;42924548;0022351-210914110416597
https://doi.org/10.15468/dl.c3mkt8;43123691;0022350-210914110416597
https://doi.org/10.15468/dl.2f3e2c;49828940;0022355-210914110416597
https://doi.org/10.15468/dl.7wrzdc;49302937;0022354-210914110416597
https://doi.org/10.15468/dl.p3me4q;40341339;0022353-210914110416597
https://doi.org/10.15468/dl.zygbyb;47369905;0022359-210914110416597
https://doi.org/10.15468/dl.5fedrb;43308183;0022357-210914110416597
https://doi.org/10.15468/dl.hpmycm;46213877;0022356-210914110416597
https://doi.org/10.15468/dl.w4anfe;47594470;0022365-210914110416597
https://doi.org/10.15468/dl.yr34z2;43982864;0022364-210914110416597
https://doi.org/10.15468/dl.p68nzn;43211136;0022362-210914110416597
https://doi.org/10.15468/dl.tsup7a;39234969;0022372-210914110416597
https://doi.org/10.15468/dl.b2hy29;46132842;0022369-210914110416597
https://doi.org/10.15468/dl.rmqbvp;43646127;0022368-210914110416597
https://doi.org/10.15468/dl.vcr3jf;39487375;0022377-210914110416597
https://doi.org/10.15468/dl.9xr5mr;39904288;0022374-210914110416597
https://doi.org/10.15468/dl.d8wfxe;38696390;0022373-210914110416597
https://doi.org/10.15468/dl.qsn9u9;4300680;0022384-210914110416597
https://doi.org/10.15468/dl.nubwam;39717451;0022381-210914110416597
https://doi.org/10.15468/dl.584qwx;40036215;0022379-210914110416597
